t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
13,-0.5,0.09918582268751494,0.03133422731387133,0.5,0.2989171986913457,A,B,0.8139590903280783,0.18604090967192166,2.3879717565778567,0.9120282434221432
14,-0.5,0.06922653155313918,0.026020885040732616,0.4666666666666667,0.2989151966534957,A,B,0.8622971867734224,0.13770281322657751,2.5672510699227122,0.7327489300772876
15,1.0,0.11576520497548222,0.03576067619032529,0.5,0.2989126275690201,B,B,0.862107960570484,0.13789203942951608,2.5664547255471084,0.7335452744528916
16,-0.5,0.08497694472670811,0.030403069428422035,0.47058823529411764,0.2989104161935684,A,B,0.862454613471099,0.13754538652890105,2.5679142894854703,0.7320857105145299
17,-0.5,0.0557280974903727,0.025099038734137814,0.4444444444444444,0.2989078935791831,A,B,0.8622640450964473,0.1377359549035528,2.5671115292567923,0.7328884707432075
18,-0.5,0.02794169261585406,0.019848048346796435,0.42105263157894735,0.2989065163604176,A,B,0.8620751026285528,0.13792489737144717,2.5663165389094944,0.7336834610905055
19,1.0,0.07654460798506135,0.029649567863328473,0.45,0.2989034734265065,B,B,0.26748654316538223,0.7325134568346178,1.1462937736595578,2.1537062263404425
20,1.0,0.12271737758580828,0.039353072184695186,0.47619047619047616,0.2988990650981497,B,B,0.18573828422146033,0.8142617157785397,0.9110283881473044,2.388971611852696
21,1.0,0.16658150870651786,0.048959541462848234,0.5,0.2988927971535489,B,B,0.1861784251528768,0.8138215748471231,0.9124821712311184,2.387517828768882
22,1.0,0.20825243327119197,0.058469946048219756,0.5217391304347826,0.2988803942223685,B,B,0.18661462516429086,0.8133853748357092,0.9139203247011276,2.3860796752988724
23,1.0,0.24783981160763235,0.06788524658773756,0.5416666666666666,0.2988659322651541,B,B,0.18704683401369313,0.8129531659863068,0.9153427666464494,2.3846572333535505
24,1.0,0.28544782102725075,0.07720639412186019,0.56,0.29885082169973304,B,B,0.18747500586953275,0.8125249941304672,0.9167494293791606,2.3832505706208393
25,1.0,0.32117542997588816,0.08643433018064157,0.5769230769230769,0.29883336904270963,B,B,0.5057787442558873,0.49422125574411263,1.6615580031522805,1.6384419968477197
26,1.0,0.3551166584770937,0.09556998687883515,0.5925925925925926,0.29881395301916935,B,B,0.25359694533569715,0.7464030546643028,1.1102402176148227,2.1897597823851775
27,1.0,0.38736082555323903,0.1046142870100468,0.6071428571428571,0.2987853819391899,B,B,0.1887349048157918,0.8112650951842081,0.9208742676425264,2.3791257323574735
28,1.0,0.41799278427557707,0.11356814413994633,0.6206896551724138,0.2987544363551978,B,B,0.18914655440115125,0.8108534455988488,0.9222174025829101,2.37778259741709
29,1.0,0.4470931450617982,0.12243246269854687,0.6333333333333333,0.2987218839457545,B,B,0.142928084907279,0.857071915092721,0.75440988550558,2.54559011449442
30,1.0,0.47473848780870825,0.1312081380715614,0.6451612903225806,0.2986878797656946,B,B,0.14324965244096313,0.856750347559037,0.7557211814623493,2.544278818537651
31,1.0,0.5010015634182728,0.1398960566908458,0.65625,0.2986518437070772,B,B,0.1435679124563891,0.8564320875436108,0.757016578415539,2.542983421584461
32,1.0,0.5259514852473592,0.14849709612393733,0.6666666666666666,0.29861053646734803,B,B,0.4146995298548584,0.5853004701451415,1.4777144470002281,1.8222855529997717
33,1.0,0.5496539109849913,0.15701212516269797,0.6764705882352942,0.2985680927585626,B,B,0.14419445508566336,0.8558055449143367,0.7595597939947969,2.5404402060052034
34,1.0,0.5721712154357418,0.165442003911071,0.6857142857142857,0.2985195363986436,B,B,0.14450271678003035,0.8554972832199697,0.7608076954789075,2.5391923045210927
35,1.0,0.5935626546639547,0.1737875838719603,0.6944444444444444,0.2984708009605695,B,B,0.1448076289233713,0.8551923710766288,0.7620398627291476,2.5379601372708525
36,1.0,0.613884521930757,0.18204970803324072,0.7027027027027027,0.2984230976655865,B,B,0.14510918712483478,0.8548908128751651,0.7632563585795068,2.536743641420493
37,1.0,0.6331902958342193,0.19022921095290832,0.7105263157894737,0.2983738583827681,B,B,0.1454073892490866,0.8545926107509133,0.7644572536111558,2.535542746388844
38,-0.5,0.5765307810425082,0.18332691884337923,0.6923076923076923,0.2983300527468809,A,B,0.14570223532225565,0.8542977646777443,0.7656426257172456,2.5343573742827545
39,-0.5,0.5227042419903828,0.17649364965494543,0.675,0.29829049162035326,A,B,0.2486470384317198,0.7513529615682801,1.0970794221864133,2.202920577813587
40,1.0,0.5465690298908636,0.18472871315839598,0.6829268292682927,0.2982466118911599,B,B,0.12581577121109516,0.8741842287889049,0.6807637811077362,2.619236218892264
41,1.0,0.5692405783963205,0.19288142602681202,0.6904761904761905,0.29820141777038844,B,B,0.12607905381260226,0.8739209461873977,0.6819596002221737,2.6180403997778265
42,1.0,0.5907785494765044,0.20095261176654391,0.6976744186046512,0.2981561570219474,B,B,0.12633938686992566,0.8736606131300743,0.6831399233485314,2.6168600766514687
43,1.0,0.6112396220026792,0.20894308564887848,0.7045454545454546,0.29811062497628965,B,B,0.12659677200505257,0.8734032279949474,0.6843048374273316,2.6156951625726688
44,1.0,0.6306776409025453,0.2168536547923897,0.7111111111111111,0.2980635533638142,B,B,0.12685121257643128,0.8731487874235687,0.6854544357443856,2.6145455642556144
45,1.0,0.649143758857418,0.2246851182444658,0.717391304347826,0.29800667705466366,B,B,0.12710271360042413,0.8728972863995759,0.6865888175354662,2.613411182464534
46,1.0,0.6666865709145472,0.23243826706202114,0.723404255319149,0.2979489702191524,B,B,0.12735128167416315,0.8726487183258369,0.6877080876033369,2.612291912396663
